TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11
a0a00687,a0008e01,a0009097,a14a5018,a1a00010,a3078010,a12a0690,a1a24009,a196410a,a200868b,a563450b,a0c3028c
a6414280,a0c8d29d,a0084382,a1020385,a1838b46,a0c54700,a0048427,a1294096,a0c2c910,a1a44697,a1630d08,a1855102
a660c605,a1a08b03,a140898b,a4a1019b,a284048b,a0c54581,a0008008,a1c0930f,a0050c90,a1e34c97,a0824702,a3c08408
a4018015,a0281015,a082028b,a1000284,a2a14184,a38300a6,a060c108,a023c88c,a2aa048c,a3e21482,a5828a94,a0405106
a124001b,a0e0001a,a060c48b,a045c9ab,a24c8080,a085c500,a160c194,a1834a91,a2e3400a,a3e4e204,a1224103,a025031d
a1e3c982,a001c103,a0e34681,a080478f,a904418e,a0221e13,a0704d01,a2844616,a2e1c22e,a4a08d99,a00dcc80,a04547a7
a0418f81,a062428b,a462c4b7,a1414910,a2404c11,a2c00381,a0210089,a08287c5,a0c54302,a224520e,a0a28789,a0e11382
a0040188,a6800009,a0444797,a0a74207,a387c784,a140cc11,a2668180,a1e20293,a4404108,a5e78a83,a003c787,a3614487
a1a44690,a1a28889,a3200206,a1a38280,a1670312,a2804188,a4020c0a,a121d18f,a0814205,a0c38503,a0a20987,a2624d40
a0c88618,a1204185,a0e1970f,a0414997,a0620b16,a0014987,a3604580,a0c6c882,a1660487,a1c01083,a04c4100,a000498d
a423c788,a1c20f02,a004c980,a20382a4,a0408197,a301449e,a0a34414,a023c280,a4419700,a0420336,a3a38f03,a02101aa
a0a04d8c,a2254d12,a26a8b23,a0258214,a040cb02,a042440f,a5e55409,a1240003,a0c4c101,a441cc8a,a0010183,a040c09f
a0620b82,a0205a24,a0630590,a5830803,a3494b81,a040c52f,a340c793,a080c81f,a1820383,a065429d,a0430a0f,a0e1ca83
a2c4710d,a2828c96,a2824d07,a78d8802,a143010f,a3a0c500,a0031083,a9a05732,a0618e92,a222c484,a0610611,a08404a8
a3039d01,a0c14605,a343c402,a020d281,a002c483,a1621100,a3668a90,a1400526,a4458d87,a1660980,a0c58d9a,a5c6cc83
a0634e25,a30dc382,a2274084,a0004193,a0e2ca85,a3010a04,a7804514,a602dfa3,a3220583,a2a005b8,a1418180,a2e00405
a0a4c594,a123040a,a26a0585,a1c3c281,a048018c,a043028b,a21484b0,a0a14c0b,a1a0851b,a044568b,a022411c,a860c903
a0618101,a4c7ca9b,a1805412,a020420b,a006c10d,a1ebc501,a305828c,a1a90005,a0408b82,a2e20413,a0018a03,aa05811b
a2040d12,a1018015,a4c1c394,a3088787,a184d48e,a1000216,a1e00a84,a0010993,a041820f,a111c484,a37e0382,a222431c
a3410906,a0210288,a0238689,a0eacba4,a1644c00,a585c101,a003cb0f,a4a1c081,a0090802,a22d4791,a2408618,a1a44289
a0e4c326,a5e60406,a3e0c884,a340838e,a040868d,a0448029,a3018205,a4288508,a0448107,a0228245,a10a8282,a023c800
a50a5414,a1e50297,a169c108,a1a1411c,a0844493,a4404401,a0020585,a1e08c8f,a0604681,a120448a,a067410c,a0830f03
a1018182,a161898f,a7014898,a4a34101,a021811b,a1850600,a1030083,a1e5d880,a041848b,a102420d,a0604088,a1c6c681
a0e3021a,a061878e,a061c78d,a2c40593,a4e6c481,a00249a1,a3e70106,a180828e,a1a18c04,a22ac284,a004de23,a0004811
a2420586,a0a7c513,a1008588,a0a14884,a1414287,a204c983,a0018c16,a0a58c00,a080c28a,a021c6bf,a2000089,a146c402
a0200c84,a0854284,a0e2c185,a2e1000b,a0204201,a1830301,a2404303,a2228187,a0080797,a285880e,a001488b,a0414c84
a0c1424d,a2608281,a505cc03,a08b4421,a1861316,a2c40082,a1208484,a0a2d082,a065408f,a1800690,a0c28b82,a0e1829a
a0e88199,a00005b2,a423811d,a0660885,a1635103,a0a004a4,a34581a8,a0e00b8b,a5adc001,a04083a0,a02050b0,a361cc88
a1674125,a1818f06,a0200403,a0444481,a4280a81,a2050600,a4614196,a4818d80,a0a58c09,a1238a9c,a4404003,a284c080
a1cb0009,aa204214,a0e64906,a0448ebd,a0e48283,a1c1108b,a0618626,a2a34280,a1c74008,a0679f30,a085c38a,a0200e00
a202000f,a02049b0,a143d300,a229c189,a0e6170a,a3e74204,a0005b9f,a1a5438a,a080418d,a260c200,a1e10b1e,a020c28c
a043c809,a089c406,a4008d08,a242c511,a080538f,a060c183,a4828080,a38341a1,a0228016,a0830404,a041018e,a3600b0f
a2610708,a0454e87,a36a919c,a5e58aa3,a1808186,a10042ab,a02e4105,a6220882,a4028009,a2b4c311,a5e24083,a0028701
a0020ea7,a154c58a,a5834a12,a4034011,a3e98602,a301d001,a0008509,a06043bc,a582828b,a2600b95,a0038280,a0415d89
a185c200,a00084ca,a184c583,a1418503,a1c34188,a0804099,a006ca04,a040c209,a122423a,a0c0050c,a0614881,a3e68296
a167c231,a140c782,a523848b,a00485b2,a1430500,a000848e,a1424184,a0824285,a1600116,a0e74782,a200020c,a1c30308
a1e1560b,a1c30111,a0420300,a106c749,aa638900,a3214f0e,a3e38288,a444070f,a0e78464,a3e98809,a1410f04,a1ab4818
a3290107,a5618195,a0454080,a0228809,a0610199,a20b4291,a104ca17,a34a02ae,a1a30280,a0294083,a1408786,a027c0b1
a0eb4985,a041808f,a06c4815,a1620315,a04d411e,a284c61c,a302c383,a2014003,a180dc05,a0001100,a7238f00,a0434c05
a3605a01,a0a9090d,a5e08986,a1c34382,a2a68101,a022dba3,a3458001,a001c409,a08b48a1,a223de8a,a160c409,a7400081
a1cac005,a0a00280,a000808f,a02cc008,a3614221,a265040e,a061c009,a0609f8c,a5a2029b,a1804201,a1629908,a0ca4001
a0e1049b,a0888012,a1e04899,a0628301,a0a60c27,a0214b88,a021d017,a0e40803,a2e14189,a1008b94,a044c216,a0001703
a203c782,a5c0c70f,a3a40b88,a2aad481,a2c7549c,a1254080,aa608486,a022908d,a0aeda21,a420c90e,a0c10509,a146c091
a2e19208,a121008e,a0ac8288,a3a3c211,a140d70a,a0a0c504,a0c08091,a0048107,a001821a,a3a00a08,a0218686,a2884000
a120931b,a0420283,a0834902,a043c206,a2028500,a2a3cc94,a4002203,a3818107,a0804631,a221cb85,a0c5c68b,a5e21386
